signal_type,source_id,target_id,source_regime,target_regime,source_percentile,target_percentile,relation_metric,score,source_latest_return,target_latest_return,interpretation
middle_regime_rotation,US_FINANCIALS,US_INDUSTRIALS,middle,middle,0.9064155385520895,0.5615067686874632,0.6735491507327621,0.5402857614029124,0.015217688050826137,0.002995090568316239,possible_flow_follow_through
middle_regime_rotation,US_FINANCIALS,US_REAL_ESTATE_CHAIN,middle,middle,0.9064155385520895,0.468510888758093,0.4972087910872452,0.42497353313156433,0.015217688050826137,-0.0006216945574089584,possible_flow_follow_through
middle_regime_rotation,US_FINANCIALS,US_MATERIALS,middle,upper_tail,0.9064155385520895,0.9593878752207181,0.6025763454749199,0.30901987628740296,0.015217688050826137,0.019218253827073987,already_confirming_move
middle_regime_rotation,US_FINANCIALS,US_INTERNET,middle,middle,0.9064155385520895,0.22424955856386108,0.3588639770165713,0.30672766644549593,0.015217688050826137,-0.009466411702980721,possible_flow_follow_through
middle_regime_rotation,US_FINANCIALS,US_SEMICONDUCTOR,middle,middle,0.9064155385520895,0.09299587992937022,0.3491411613318268,0.29841739637867437,0.015217688050826137,-0.04646483113198573,possible_flow_follow_through
middle_regime_rotation,US_FINANCIALS,US_NEW_ENERGY,middle,middle,0.9064155385520895,0.07474985285462037,0.3389799403123949,0.28973241317852627,0.015217688050826137,-0.050711230647060665,possible_flow_follow_through
middle_regime_rotation,US_FINANCIALS,US_ENERGY,middle,middle,0.9064155385520895,0.7027663331371395,0.36425221472446273,0.248205223101972,0.015217688050826137,0.00773369576325143,possible_flow_follow_through
middle_regime_rotation,US_FINANCIALS,US_HEALTHCARE,middle,upper_tail,0.9064155385520895,0.9788110653325486,0.418247085886126,0.214490103550666,0.015217688050826137,0.025985205096065462,already_confirming_move
upper_tail_follow_through,US_HEALTHCARE,US_INDUSTRIALS,upper_tail,middle,0.9788110653325486,0.5615067686874632,0.36492054149499703,0.19734165599682288,0.025985205096065462,0.002995090568316239,possible_flow_follow_through
upper_tail_follow_through,US_HEALTHCARE,US_REAL_ESTATE_CHAIN,upper_tail,middle,0.9788110653325486,0.468510888758093,0.3060623896409652,0.17635967007563605,0.025985205096065462,-0.0006216945574089584,possible_flow_follow_through
middle_regime_rotation,CN_MATERIALS,CN_NEW_ENERGY,middle,middle,0.7374470659407139,0.3760855043420174,0.5617520354772151,0.16374522429568747,0.01684316225800319,-0.007144199315680492,possible_flow_follow_through
upper_tail_follow_through,US_UTILITIES,US_INDUSTRIALS,upper_tail,middle,0.9841082989994114,0.5615067686874632,0.24720423778693346,0.15826216894483078,0.021872027914100162,0.002995090568316239,possible_flow_follow_through
upper_tail_follow_through,US_HEALTHCARE,US_SEMICONDUCTOR,upper_tail,middle,0.9788110653325486,0.09299587992937022,0.2707474985285462,0.15601047737460114,0.025985205096065462,-0.04646483113198573,possible_flow_follow_through
middle_regime_rotation,US_FINANCIALS,US_UTILITIES,middle,upper_tail,0.9064155385520895,0.9841082989994114,0.24331719528223075,0.12478061933455421,0.015217688050826137,0.021872027914100162,already_confirming_move
upper_tail_follow_through,US_UTILITIES,US_NEW_ENERGY,upper_tail,middle,0.9841082989994114,0.07474985285462037,0.17657445556209533,0.12045308651940485,0.021872027914100162,-0.050711230647060665,possible_flow_follow_through
upper_tail_follow_through,US_UTILITIES,US_REAL_ESTATE_CHAIN,upper_tail,middle,0.9841082989994114,0.468510888758093,0.17657445556209533,0.12045308651940485,0.021872027914100162,-0.0006216945574089584,possible_flow_follow_through
middle_regime_rotation,CN_MATERIALS,CN_INDUSTRIALS,middle,middle,0.7374470659407139,0.0780399274047187,0.40176113807519154,0.1171094424455917,0.01684316225800319,-0.025158516601587935,possible_flow_follow_through
upper_tail_follow_through,US_HEALTHCARE,US_INTERNET,upper_tail,middle,0.9788110653325486,0.22424955856386108,0.20011771630370803,0.11531209197253126,0.025985205096065462,-0.009466411702980721,possible_flow_follow_through
upper_tail_follow_through,US_HEALTHCARE,US_NEW_ENERGY,upper_tail,middle,0.9788110653325486,0.07474985285462037,0.20011771630370803,0.11531209197253126,0.025985205096065462,-0.050711230647060665,possible_flow_follow_through
upper_tail_follow_through,US_UTILITIES,US_SEMICONDUCTOR,upper_tail,middle,0.9841082989994114,0.09299587992937022,0.1530311948204826,0.1043926749834842,0.021872027914100162,-0.04646483113198573,possible_flow_follow_through
upper_tail_follow_through,US_MATERIALS,US_INDUSTRIALS,upper_tail,middle,0.9593878752207181,0.5615067686874632,0.5061801059446733,0.09500932065082775,0.019218253827073987,0.002995090568316239,possible_flow_follow_through
upper_tail_follow_through,US_HEALTHCARE,US_FINANCIALS,upper_tail,middle,0.9788110653325486,0.9064155385520895,0.2707474985285462,0.09260539519263405,0.025985205096065462,0.015217688050826137,possible_flow_follow_through
upper_tail_follow_through,US_UTILITIES,US_INTERNET,upper_tail,middle,0.9841082989994114,0.22424955856386108,0.1294879340788699,0.08833226344756356,0.021872027914100162,-0.009466411702980721,possible_flow_follow_through
upper_tail_follow_through,US_UTILITIES,US_FINANCIALS,upper_tail,middle,0.9841082989994114,0.9064155385520895,0.2118893466745144,0.0857988965896314,0.021872027914100162,0.015217688050826137,possible_flow_follow_through
upper_tail_follow_through,US_HEALTHCARE,US_MATERIALS,upper_tail,upper_tail,0.9788110653325486,0.9593878752207181,0.3766921718658034,0.08465264163630531,0.025985205096065462,0.019218253827073987,already_confirming_move
middle_regime_rotation,CN_MATERIALS,CN_HEALTHCARE,middle,middle,0.7374470659407139,0.3702359346642468,0.2770637325425716,0.08076136829810186,0.01684316225800319,-0.007534571846172407,possible_flow_follow_through
upper_tail_follow_through,US_MATERIALS,US_REAL_ESTATE_CHAIN,upper_tail,middle,0.9593878752207181,0.468510888758093,0.40023543260741606,0.08004708652148322,0.019218253827073987,-0.0006216945574089584,possible_flow_follow_through
middle_regime_rotation,CN_MATERIALS,CN_ENERGY,middle,middle,0.7374470659407139,0.6158499697519662,0.301405316456467,0.07767850568083917,0.01684316225800319,0.0041963932312076265,possible_flow_follow_through
middle_regime_rotation,CN_MATERIALS,CN_REAL_ESTATE_CHAIN,middle,middle,0.7374470659407139,0.09860859044162129,0.25412021641405685,0.07407355773876166,0.01684316225800319,-0.018318542668446222,possible_flow_follow_through
middle_regime_rotation,CN_INTERNET,CN_FINANCIALS,middle,middle,0.6882175226586102,0.45251058681185724,0.35478535444308945,0.0709570708886179,0.00874686429769191,-0.0016839671720996114,possible_flow_follow_through
